timestep,x_cm,y_cm,z_cm,yaw_deg,basis_xx,basis_xy,basis_xz,basis_yx,basis_yy,basis_yz,basis_zx,basis_zy,basis_zz,teleport_flag
106,60.009800,870.019500,70.001300,-148.199997,-0.849893,0.526956,0.000000,-0.526956,-0.849893,0.000000,0.000000,0.000000,1.000000,0
107,89.990200,879.980400,59.991600,-144.699997,-0.816138,0.577858,0.000000,-0.577858,-0.816138,0.000000,0.000000,0.000000,1.000000,0
108,89.990200,879.980400,59.991600,-144.699997,-0.816138,0.577858,0.000000,-0.577858,-0.816138,0.000000,0.000000,0.000000,1.000000,0
109,89.990200,879.980400,59.991600,-144.699997,-0.816138,0.577858,0.000000,-0.577858,-0.816138,0.000000,0.000000,0.000000,1.000000,0
110,89.990200,879.980400,59.991600,-144.699997,-0.816138,0.577858,0.000000,-0.577858,-0.816138,0.000000,0.000000,0.000000,1.000000,0
111,119.970700,899.999900,59.991600,-143.199997,-0.800731,0.599024,0.000000,-0.599024,-0.800731,0.000000,0.000000,0.000000,1.000000,0
112,119.970700,899.999900,59.991600,-143.199997,-0.800731,0.599024,0.000000,-0.599024,-0.800731,0.000000,0.000000,0.000000,1.000000,0
113,119.970700,899.999900,59.991600,-143.199997,-0.800731,0.599024,0.000000,-0.599024,-0.800731,0.000000,0.000000,0.000000,1.000000,0
114,139.990200,920.019500,59.991600,-145.500000,-0.824126,0.566406,0.000000,-0.566406,-0.824126,0.000000,0.000000,0.000000,1.000000,0
115,139.990200,920.019500,59.991600,-145.500000,-0.824126,0.566406,0.000000,-0.566406,-0.824126,0.000000,0.000000,0.000000,1.000000,0
116,139.990200,920.019500,59.991600,-145.500000,-0.824126,0.566406,0.000000,-0.566406,-0.824126,0.000000,0.000000,0.000000,1.000000,0
117,139.990200,920.019500,59.991600,-145.500000,-0.824126,0.566406,0.000000,-0.566406,-0.824126,0.000000,0.000000,0.000000,1.000000,0
118,150.000000,940.039000,59.991600,-148.100006,-0.848972,0.528438,0.000000,-0.528438,-0.848972,0.000000,0.000000,0.000000,1.000000,0
119,150.000000,940.039000,59.991600,-148.100006,-0.848972,0.528438,0.000000,-0.528438,-0.848972,0.000000,0.000000,0.000000,1.000000,0
120,150.000000,940.039000,59.991600,-148.100006,-0.848972,0.528438,0.000000,-0.528438,-0.848972,0.000000,0.000000,0.000000,1.000000,0
121,169.970700,949.999900,59.991600,-150.300003,-0.868632,0.495459,0.000000,-0.495459,-0.868632,0.000000,0.000000,0.000000,1.000000,0
122,169.970700,949.999900,59.991600,-150.300003,-0.868632,0.495459,0.000000,-0.495459,-0.868632,0.000000,0.000000,0.000000,1.000000,0
123,169.970700,949.999900,59.991600,-150.300003,-0.868632,0.495459,0.000000,-0.495459,-0.868632,0.000000,0.000000,0.000000,1.000000,0
124,169.970700,949.999900,59.991600,-150.300003,-0.868632,0.495459,0.000000,-0.495459,-0.868632,0.000000,0.000000,0.000000,1.000000,0
125,169.970700,949.999900,59.991600,-150.300003,-0.868632,0.495459,0.000000,-0.495459,-0.868632,0.000000,0.000000,0.000000,1.000000,0
126,179.980500,960.058500,59.991600,-152.100006,-0.883766,0.467930,0.000000,-0.467930,-0.883766,0.000000,0.000000,0.000000,1.000000,0
127,179.980500,960.058500,59.991600,-152.100006,-0.883766,0.467930,0.000000,-0.467930,-0.883766,0.000000,0.000000,0.000000,1.000000,0
128,179.980500,960.058500,59.991600,-152.100006,-0.883766,0.467930,0.000000,-0.467930,-0.883766,0.000000,0.000000,0.000000,1.000000,0
129,179.980500,970.019500,59.991600,-153.400009,-0.894154,0.447759,0.000000,-0.447759,-0.894154,0.000000,0.000000,0.000000,1.000000,0
130,179.980500,970.019500,59.991600,-153.400009,-0.894154,0.447759,0.000000,-0.447759,-0.894154,0.000000,0.000000,0.000000,1.000000,0
131,179.980500,970.019500,59.991600,-153.400009,-0.894154,0.447759,0.000000,-0.447759,-0.894154,0.000000,0.000000,0.000000,1.000000,0
132,179.980500,970.019500,59.991600,-153.400009,-0.894154,0.447759,0.000000,-0.447759,-0.894154,0.000000,0.000000,0.000000,1.000000,0
133,189.990200,979.980400,59.991600,-154.500000,-0.902585,0.430511,0.000000,-0.430511,-0.902585,0.000000,0.000000,0.000000,1.000000,0
134,189.990200,979.980400,59.991600,-154.500000,-0.902585,0.430511,0.000000,-0.430511,-0.902585,0.000000,0.000000,0.000000,1.000000,0
135,189.990200,979.980400,59.991600,-154.500000,-0.902585,0.430511,0.000000,-0.430511,-0.902585,0.000000,0.000000,0.000000,1.000000,0
136,189.990200,979.980400,59.991600,-155.000000,-0.906308,0.422618,0.000000,-0.422618,-0.906308,0.000000,0.000000,0.000000,1.000000,0
137,189.990200,979.980400,59.991600,-155.000000,-0.906308,0.422618,0.000000,-0.422618,-0.906308,0.000000,0.000000,0.000000,1.000000,0
138,189.990200,979.980400,59.991600,-155.000000,-0.906308,0.422618,0.000000,-0.422618,-0.906308,0.000000,0.000000,0.000000,1.000000,0
139,189.990200,979.980400,59.991600,-155.199997,-0.907777,0.419452,0.000000,-0.419452,-0.907777,0.000000,0.000000,0.000000,1.000000,0
140,189.990200,979.980400,59.991600,-155.199997,-0.907777,0.419452,0.000000,-0.419452,-0.907777,0.000000,0.000000,0.000000,1.000000,0
141,189.990200,979.980400,59.991600,-155.199997,-0.907777,0.419452,0.000000,-0.419452,-0.907777,0.000000,0.000000,0.000000,1.000000,0
142,189.990200,979.980400,59.991600,-155.199997,-0.907777,0.419452,0.000000,-0.419452,-0.907777,0.000000,0.000000,0.000000,1.000000,0
143,189.990200,979.980400,59.991600,-154.900009,-0.905569,0.424199,0.000000,-0.424199,-0.905569,0.000000,0.000000,0.000000,1.000000,0
144,189.990200,979.980400,59.991600,-154.900009,-0.905569,0.424199,0.000000,-0.424199,-0.905569,0.000000,0.000000,0.000000,1.000000,0
