step_idx	elapsed_s	status	reverse_active	path_reverse_active	stuck_detection_armed	planner_rebuilt	replan_attempted	raw_path_points	follow_path_points	active_path_points	raw_rover_x	raw_rover_y	raw_rover_z	raw_heading_deg	rover_x_cm	rover_y_cm	rover_z_cm	rover_heading_deg	raw_pose_delta	pose_delta_cm	telemetry_throttle	telemetry_steering	telemetry_speed	telemetry_brakes	telemetry_distance_traveled	distance_traveled_delta	moved_since_anchor_cm	stationary_elapsed_s	goal_x_cm	goal_y_cm	goal_dist_cm	target_x_cm	target_y_cm	rover_cell_x	rover_cell_y	target_cell_x	target_cell_y	waypoint_idx	waypoint_distance_cm	waypoint_distance_avg_cm	path_heading_error_deg	throttle_cmd	steering_cmd	new_lidar_obstacles	stuck_obstacles_added	obstacle_total
62	17.740	Running	0	0	1	0	0	0	649	597	-5666.300	-10083.500	1440.700	216.800	69.971	840.039	70.001	-126.800	0.000	0.000	20.000	0.532	4.700	0	15.100	0.000	0.000	0.000	-3700.000	-2820.020	5254.399	-283.583	596.398	99	97	92	92	50	429.373	454.236	-69.653	20.000	-0.532	0	0	0
63	18.012	Running	0	0	1	0	0	0	649	597	-5666.300	-10083.500	1440.700	216.800	69.971	840.039	70.001	-126.800	0.000	0.000	20.000	0.532	4.700	0	15.100	0.000	0.000	0.000	-3700.000	-2820.020	5254.399	-283.583	596.398	99	97	92	92	50	429.373	453.847	-69.653	20.000	-0.532	0	0	0
64	18.289	Running	0	0	1	0	0	0	649	590	-5666.700	-10083.900	1440.700	218.800	29.980	800.000	70.001	-128.800	0.566	56.589	20.000	0.532	5.100	0	15.600	0.500	56.589	0.000	-3700.000	-2820.020	5197.816	-323.573	556.408	98	96	91	91	49	429.345	453.470	-67.684	20.000	-0.475	0	0	0
65	18.565	Running	0	0	1	0	0	0	649	590	-5666.700	-10083.900	1440.700	218.800	29.980	800.000	70.001	-128.800	0.000	0.000	20.000	0.475	5.100	0	15.600	0.000	0.000	0.000	-3700.000	-2820.020	5197.816	-323.573	556.408	98	96	91	91	49	429.345	453.105	-67.684	20.000	-0.475	0	0	0
66	18.841	Running	0	0	1	0	0	0	649	590	-5666.700	-10083.900	1440.700	218.800	29.980	800.000	70.001	-128.800	0.000	0.000	20.000	0.475	5.100	0	15.600	0.000	0.000	0.000	-3700.000	-2820.020	5197.816	-323.573	556.408	98	96	91	91	49	429.345	452.750	-67.684	20.000	-0.475	0	0	0
67	19.113	Running	0	0	1	0	0	0	649	590	-5666.700	-10083.900	1440.700	218.800	29.980	800.000	70.001	-128.800	0.000	0.000	20.000	0.475	5.100	0	15.600	0.000	0.000	0.000	-3700.000	-2820.020	5197.816	-323.573	556.408	98	96	91	91	49	429.345	452.406	-67.684	20.000	-0.475	0	0	0
68	19.386	Running	0	0	1	0	0	0	649	584	-5667.100	-10084.300	1440.700	220.900	-10.010	760.058	70.001	-130.900	0.565	56.520	20.000	0.475	5.700	0	16.300	0.700	56.520	0.000	-3700.000	-2820.020	5141.302	-363.563	516.417	97	95	90	90	50	429.373	452.072	-65.553	20.000	-0.415	0	0	0
69	19.669	Obstacle hits: +1	0	0	1	0	1	90	626	626	-5667.100	-10084.300	1440.700	220.900	-10.010	760.058	70.001	-130.900	0.000	0.000	20.000	0.415	5.700	0	16.300	0.000	0.000	0.000	-3700.000	-2820.020	5141.302	-475.893	854.980	97	95	88	97	51	475.455	452.406	-88.639	18.000	-1.000	1	0	1
70	19.980	Running	0	0	1	0	0	0	626	626	-5667.100	-10084.300	1440.700	220.900	-10.010	760.058	70.001	-130.900	0.000	0.000	18.000	1.000	5.700	0	16.300	0.000	0.000	0.000	-3700.000	-2820.020	5141.302	-475.893	854.980	97	95	88	97	51	475.455	452.731	-88.639	18.000	-1.000	0	0	1
71	20.268	Running	0	0	1	0	0	0	626	626	-5667.100	-10084.300	1440.700	220.900	-10.010	760.058	70.001	-130.900	0.000	0.000	18.000	1.000	5.700	0	16.300	0.000	0.000	0.000	-3700.000	-2820.020	5141.302	-475.893	854.980	97	95	88	97	51	475.455	453.046	-88.639	18.000	-1.000	0	0	1
