step_idx	elapsed_s	stuck_x_cm	stuck_y_cm	stuck_z_cm	hist_x_cm	hist_y_cm	hist_z_cm	hist_heading_deg	dist_from_stuck_cm	contact_side	contact_min_lidar_cm	bumper_sample_idx	bumper_lateral_offset_cm	obstacle_x_cm	obstacle_y_cm	obstacle_cell_x	obstacle_cell_y	placed
225	69.377	179.980	510.058	79.999	169.971	520.020	70.001	-99.000	17.302	front	0.000	4	53.333	189.405	301.793	101	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	70.001	-99.000	17.302	front	0.000	5	106.667	242.082	293.449	102	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	70.001	-99.000	17.302	front	0.000	6	160.000	294.759	285.106	103	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.100	14.122	front	0.000	0	-160.000	-21.624	335.499	97	87	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.100	14.122	front	0.000	1	-106.667	31.038	327.064	98	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.100	14.122	front	0.000	2	-53.333	83.700	318.629	99	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.100	14.122	front	0.000	3	0.000	136.362	310.194	100	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.100	14.122	front	0.000	4	53.333	189.024	301.759	101	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.100	14.122	front	0.000	5	106.667	241.686	293.324	102	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.100	14.122	front	0.000	6	160.000	294.348	284.889	103	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.100	14.122	front	0.000	0	-160.000	-21.624	335.499	97	87	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.100	14.122	front	0.000	1	-106.667	31.038	327.064	98	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.100	14.122	front	0.000	2	-53.333	83.700	318.629	99	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.100	14.122	front	0.000	3	0.000	136.362	310.194	100	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.100	14.122	front	0.000	4	53.333	189.024	301.759	101	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.100	14.122	front	0.000	5	106.667	241.686	293.324	102	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.100	14.122	front	0.000	6	160.000	294.348	284.889	103	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.100	14.122	front	0.000	0	-160.000	-21.624	335.499	97	87	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.100	14.122	front	0.000	1	-106.667	31.038	327.064	98	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.100	14.122	front	0.000	2	-53.333	83.700	318.629	99	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.100	14.122	front	0.000	3	0.000	136.362	310.194	100	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.100	14.122	front	0.000	4	53.333	189.024	301.759	101	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.100	14.122	front	0.000	5	106.667	241.686	293.324	102	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.100	14.122	front	0.000	6	160.000	294.348	284.889	103	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.300	14.122	front	0.000	0	-160.000	-22.267	336.169	97	87	0
