step_idx	elapsed_s	status	rover_x_cm	rover_y_cm	rover_z_cm	rover_heading_deg	goal_dist_cm	next_waypoint_dist_cm	next_waypoint_avg_cm	target_x_cm	target_y_cm	waypoint_idx	path_len	throttle_cmd	steering_cmd	telemetry_throttle	telemetry_steering	telemetry_speed	telemetry_brakes	telemetry_distance_traveled	new_obstacles	obstacle_total	rover_cell_x	rover_cell_y	target_cell_x	target_cell_y	viewer_scale_x	viewer_scale_y	closest_usable_lidar_cm	closest_raw_positive_lidar_cm	zero_lidar_sensor_count	usable_lidar_sensor_count
96	25.746	Running	150.000	929.980	59.992	-119.900	5374.477	435.074	454.539	-203.553	676.427	50	610	50	-0.699	50.000	0.764	2.500	0	134.400	0	0	101	99	93	93	6.450	6.605	0.000	278.150	1	1
97	26.000	Running	150.000	929.980	59.992	-119.900	5374.477	435.074	454.340	-203.553	676.427	50	610	50	-0.699	50.000	0.699	2.500	0	134.400	0	0	101	99	93	93	6.450	6.605	0.000	278.150	1	1
98	26.253	Running	150.000	929.980	59.992	-119.900	5374.477	435.074	454.145	-203.553	676.427	50	610	50	-0.699	50.000	0.699	2.500	0	134.400	0	0	101	99	93	93	6.450	6.605	0.000	278.150	1	1
99	26.545	Running	150.000	929.980	59.992	-119.900	5374.477	435.074	453.955	-203.553	676.427	50	610	50	-0.699	50.000	0.699	2.500	1	134.400	0	0	101	99	93	93	6.450	6.605	0.000	278.150	1	1
100	26.801	Running	129.980	900.000	59.992	-121.400	5339.222	429.345	453.711	-223.573	656.408	49	606	50	-0.687	50.000	0.699	3.700	1	134.700	0	0	100	98	93	93	6.450	6.605	nan	151.120	0	0
101	27.053	Running	129.980	900.000	59.992	-121.400	5339.222	429.345	453.472	-223.573	656.408	49	606	50	-0.687	50.000	0.687	3.700	1	134.700	0	0	100	98	93	93	6.450	6.605	nan	151.120	0	0
102	27.308	Running	129.980	900.000	59.992	-121.400	5339.222	429.345	453.238	-223.573	656.408	49	606	50	-0.687	50.000	0.687	3.700	1	134.700	0	0	100	98	93	93	6.450	6.605	nan	151.120	0	0
103	27.567	Running	119.971	890.039	59.992	-122.500	5325.102	429.373	453.008	-233.583	646.398	50	605	50	-0.655	50.000	0.687	2.100	0	134.900	0	0	100	98	93	93	6.450	6.605	nan	310.330	0	0
104	27.816	Running	119.971	890.039	59.992	-122.500	5325.102	429.373	452.783	-233.583	646.398	50	605	50	-0.655	50.000	0.655	2.100	0	134.900	0	0	100	98	93	93	6.450	6.605	nan	310.330	0	0
105	28.083	Running	119.971	890.039	59.992	-122.500	5325.102	429.373	452.562	-233.583	646.398	50	605	50	-0.655	50.000	0.655	2.100	0	134.900	0	0	100	98	93	93	6.450	6.605	nan	310.330	0	0
106	28.339	Running	119.971	890.039	59.992	-122.500	5325.102	429.373	452.346	-233.583	646.398	50	605	50	-0.655	50.000	0.655	2.100	0	134.900	0	0	100	98	93	93	6.450	6.605	nan	310.330	0	0
107	28.592	Running	110.010	879.980	59.992	-123.500	5310.949	429.317	452.133	-243.544	636.437	49	603	50	-0.627	50.000	0.655	2.400	0	135.100	0	0	100	98	93	93	6.450	6.605	nan	344.310	0	0
108	28.846	Running	110.010	879.980	59.992	-123.500	5310.949	429.317	451.923	-243.544	636.437	49	603	50	-0.627	50.000	0.627	2.400	0	135.100	0	0	100	98	93	93	6.450	6.605	nan	344.310	0	0
109	29.101	Running	110.010	879.980	59.992	-123.500	5310.949	429.317	451.718	-243.544	636.437	49	603	50	-0.627	50.000	0.627	2.400	0	135.100	0	0	100	98	93	93	6.450	6.605	nan	344.310	0	0
110	29.364	Running	110.010	879.980	59.992	-123.500	5310.949	429.317	451.516	-243.544	636.437	49	603	50	-0.627	50.000	0.627	2.400	1	135.100	0	0	100	98	93	93	6.450	6.605	nan	344.310	0	0
111	29.615	Running	89.990	850.000	70.001	-125.000	5275.706	423.746	451.268	-263.563	616.417	49	599	50	-0.616	50.000	0.627	4.000	1	135.400	0	0	99	97	92	92	6.450	6.605	nan	172.720	0	0
112	29.865	Running	89.990	850.000	70.001	-125.000	5275.706	423.746	451.024	-263.563	616.417	49	599	50	-0.616	50.000	0.616	4.000	1	135.400	0	0	99	97	92	92	6.450	6.605	nan	172.720	0	0
113	30.129	Running	89.990	850.000	70.001	-125.000	5275.706	423.746	450.785	-263.563	616.417	49	599	50	-0.616	50.000	0.616	4.000	1	135.400	0	0	99	97	92	92	6.450	6.605	nan	172.720	0	0
114	30.385	Running	89.990	850.000	70.001	-125.000	5275.706	423.746	450.550	-263.563	616.417	49	599	50	-0.616	50.000	0.616	4.000	0	135.400	0	0	99	97	92	92	6.450	6.605	nan	172.720	0	0
