step_idx	elapsed_s	status	rover_x_cm	rover_y_cm	rover_z_cm	rover_heading_deg	goal_dist_cm	next_waypoint_dist_cm	next_waypoint_avg_cm	target_x_cm	target_y_cm	waypoint_idx	path_len	throttle_cmd	steering_cmd	telemetry_throttle	telemetry_steering	telemetry_speed	telemetry_brakes	telemetry_distance_traveled	new_obstacles	obstacle_total	rover_cell_x	rover_cell_y	target_cell_x	target_cell_y	viewer_scale_x	viewer_scale_y	closest_usable_lidar_cm	closest_raw_positive_lidar_cm	zero_lidar_sensor_count	usable_lidar_sensor_count
67	22.303	Replanned (567 pts)	-850.000	1050.000	99.994	-121.000	4759.451	450.662	462.617	-895.020	601.592	52	567	50	0.722	50.000	0.424	0.200	0	10.300	1	6	92	90	91	81	6.450	6.605	0.000	51.900	1	3
68	22.678	Obstacle hits: +1	-860.010	1060.058	99.994	-120.200	4759.275	482.624	462.907	-895.020	578.706	52	565	50	0.744	50.000	-0.722	1.100	0	10.500	1	7	92	90	91	80	6.450	6.605	0.000	58.550	1	3
69	23.041	Running	-860.010	1060.058	99.994	-120.200	4759.275	482.624	463.189	-895.020	578.706	52	565	50	0.744	50.000	-0.744	1.100	0	10.500	0	7	92	90	91	80	6.450	6.605	0.000	58.550	1	3
70	23.547	Running	-880.029	1029.980	99.994	-120.200	4723.955	493.970	463.622	-895.020	536.238	52	561	50	0.813	50.000	-0.744	0.100	0	10.800	0	7	91	89	91	79	6.450	6.605	0.000	40.790	1	2
71	23.859	Running	-880.029	1029.980	99.994	-120.200	4723.955	493.970	464.044	-895.020	536.238	52	561	50	0.813	50.000	-0.813	0.100	1	10.800	0	7	91	89	91	79	6.450	6.605	0.000	40.790	1	2
72	24.160	Running	-880.029	1029.980	99.994	-120.200	4723.955	493.970	464.453	-895.020	536.238	52	561	50	0.813	50.000	-0.813	0.100	1	10.800	0	7	91	89	91	79	6.450	6.605	0.000	40.790	1	2
73	24.476	Replanned (567 pts)	-880.029	1040.039	99.994	-118.700	4730.965	446.102	464.205	-895.020	594.189	51	567	50	0.765	50.000	-0.813	0.200	1	10.800	1	8	91	90	91	81	6.450	6.605	0.000	33.500	1	3
74	24.813	Running	-880.029	1040.039	99.994	-118.700	4730.965	446.102	463.964	-895.020	594.189	51	567	50	0.765	50.000	-0.765	0.200	0	10.800	0	8	91	90	91	81	6.450	6.605	0.000	33.500	1	3
75	25.145	Running	-880.029	1040.039	99.994	-118.700	4730.965	446.102	463.729	-895.020	594.189	51	567	50	0.765	50.000	-0.765	0.200	0	10.800	0	8	91	90	91	81	6.450	6.605	0.000	33.500	1	3
76	25.455	Running	-880.029	1040.039	99.994	-118.600	4730.965	446.102	463.500	-895.020	594.189	51	567	50	0.762	50.000	-0.765	0.000	0	10.900	0	8	91	90	91	81	6.450	6.605	0.000	33.230	1	3
77	25.791	Running	-880.029	1040.039	99.994	-118.600	4730.965	446.102	463.277	-895.020	594.189	51	567	50	0.762	50.000	-0.762	0.000	0	10.900	0	8	91	90	91	81	6.450	6.605	0.000	33.230	1	3
78	26.143	Running	-880.029	1040.039	99.994	-118.600	4730.965	446.102	463.060	-895.020	594.189	51	567	50	0.762	50.000	-0.762	0.000	0	10.900	0	8	91	90	91	81	6.450	6.605	0.000	33.230	1	3
79	26.462	Running	-889.990	1029.980	99.994	-118.200	4716.812	494.996	463.459	-895.020	535.010	52	562	50	0.789	50.000	-0.762	0.100	0	10.900	0	8	91	89	91	79	6.450	6.605	0.000	31.980	1	3
80	26.770	Running	-889.990	1029.980	99.994	-118.200	4716.812	494.996	463.848	-895.020	535.010	52	562	50	0.789	50.000	-0.789	0.100	1	10.900	0	8	91	89	91	79	6.450	6.605	0.000	31.980	1	3
81	27.122	Running	-889.990	1029.980	99.994	-118.200	4716.812	494.996	464.228	-895.020	535.010	52	562	50	0.789	50.000	-0.789	0.100	1	10.900	0	8	91	89	91	79	6.450	6.605	0.000	31.980	1	3
82	27.452	Replanned (561 pts)	-889.990	1029.980	99.994	-117.600	4716.812	499.202	464.649	-895.020	530.804	51	561	50	0.772	50.000	-0.789	0.100	1	11.000	1	9	91	89	91	79	6.450	6.605	0.000	32.020	1	4
83	27.820	Running	-889.990	1029.980	99.994	-117.600	4716.812	499.202	465.061	-895.020	530.804	51	561	50	0.772	50.000	-0.772	0.100	0	11.000	0	9	91	89	91	79	6.450	6.605	0.000	32.020	1	4
84	28.174	Running	-889.990	1029.980	99.994	-117.600	4716.812	499.202	465.462	-895.020	530.804	51	561	50	0.772	50.000	-0.772	0.100	0	11.000	0	9	91	89	91	79	6.450	6.605	0.000	32.020	1	4
85	28.475	Running	-889.990	1029.980	99.994	-117.500	4716.812	499.202	465.855	-895.020	530.804	51	561	50	0.769	50.000	-0.772	0.000	0	11.000	0	9	91	89	91	79	6.450	6.605	0.000	30.370	1	3
86	28.791	Running	-889.990	1029.980	99.994	-117.500	4716.812	499.202	466.238	-895.020	530.804	51	561	50	0.769	50.000	-0.769	0.000	0	11.000	0	9	91	89	91	79	6.450	6.605	0.000	30.370	1	3
87	29.104	Running	-889.990	1029.980	99.994	-117.500	4716.812	499.202	466.613	-895.020	530.804	51	561	50	0.769	50.000	-0.769	0.000	0	11.000	0	9	91	89	91	79	6.450	6.605	0.000	30.370	1	3
88	29.534	Running	-889.990	1040.039	99.994	-117.300	4723.833	499.202	466.979	-895.020	540.863	51	562	50	0.764	50.000	-0.769	0.100	0	11.000	0	9	91	90	91	80	6.450	6.605	0.000	28.260	1	3
89	29.889	Running	-889.990	1040.039	99.994	-117.300	4723.833	499.202	467.337	-895.020	540.863	51	562	50	0.764	50.000	-0.764	0.100	1	11.000	0	9	91	90	91	80	6.450	6.605	0.000	28.260	1	3
90	30.241	Running	-889.990	1040.039	99.994	-117.300	4723.833	499.202	467.687	-895.020	540.863	51	562	50	0.764	50.000	-0.764	0.100	1	11.000	0	9	91	90	91	80	6.450	6.605	0.000	28.260	1	3
