sample_idx,sensor_idx,distance_cm,x_cm,y_cm,z_cm
18,7,392.299988,934.610046,1010.190247,-84.180496
18,8,396.899994,-271.004669,889.854004,-85.753792
18,9,689.619995,965.910645,1800.486206,49.993999
18,10,141.940002,363.705200,1457.640503,49.993999
18,11,139.869995,234.553574,1442.669189,49.993999
18,12,496.309998,-260.515625,1529.252686,49.993999
19,1,611.119995,685.923767,156.637955,-159.021347
19,5,532.559998,484.826538,193.818130,-175.075577
19,6,541.409973,336.364838,170.939041,-178.815735
19,7,392.299988,934.610046,1010.190247,-84.180496
19,8,396.899994,-271.004669,889.854004,-85.753792
19,9,689.619995,965.910645,1800.486206,49.993999
19,10,141.940002,363.705200,1457.640503,49.993999
19,11,139.869995,234.553574,1442.669189,49.993999
19,12,496.309998,-260.515625,1529.252686,49.993999
20,1,611.119995,685.923767,156.637955,-159.021347
20,5,532.559998,484.826538,193.818130,-175.075577
20,6,541.409973,336.364838,170.939041,-178.815735
20,7,392.299988,934.610046,1010.190247,-84.180496
20,8,396.899994,-271.004669,889.854004,-85.753792
20,9,689.619995,965.910645,1800.486206,49.993999
20,10,141.940002,363.705200,1457.640503,49.993999
20,11,139.869995,234.553574,1442.669189,49.993999
20,12,496.309998,-260.515625,1529.252686,49.993999
21,1,611.119995,685.923767,156.637955,-159.021347
21,5,532.559998,484.826538,193.818130,-175.075577
21,6,541.409973,336.364838,170.939041,-178.815735
21,7,392.299988,934.610046,1010.190247,-84.180496
21,8,396.899994,-271.004669,889.854004,-85.753792
21,9,689.619995,965.910645,1800.486206,49.993999
21,10,141.940002,363.705200,1457.640503,49.993999
21,11,139.869995,234.553574,1442.669189,49.993999
21,12,496.309998,-260.515625,1529.252686,49.993999
22,1,611.119995,685.923767,156.637955,-159.021347
22,5,532.559998,484.826538,193.818130,-175.075577
22,6,541.409973,336.364838,170.939041,-178.815735
22,7,392.299988,934.610046,1010.190247,-84.180496
22,8,396.899994,-271.004669,889.854004,-85.753792
22,9,689.619995,965.910645,1800.486206,49.993999
22,10,141.940002,363.705200,1457.640503,49.993999
22,11,139.869995,234.553574,1442.669189,49.993999
22,12,496.309998,-260.515625,1529.252686,49.993999
23,1,557.299988,674.001465,132.189758,-140.613815
23,5,516.859985,493.423004,137.957321,-168.440475
23,6,525.559998,344.947815,115.213463,-172.117249
23,7,392.350006,944.666504,940.175415,-84.197609
23,8,398.630005,-262.612610,819.673035,-86.345490
23,9,672.440002,966.238953,1716.274292,49.993999
23,10,164.020004,371.521912,1409.591919,49.993999
23,11,160.660004,242.498413,1393.336914,49.993999
23,12,518.929993,-266.694885,1475.031372,49.993999
23,15,457.049988,770.164368,268.044250,49.993999
24,1,557.299988,674.001465,132.189758,-140.613815
24,5,516.859985,493.423004,137.957321,-168.440475
24,6,525.559998,344.947815,115.213463,-172.117249
24,7,392.350006,944.666504,940.175415,-84.197609
24,8,398.630005,-262.612610,819.673035,-86.345490
24,9,672.440002,966.238953,1716.274292,49.993999
24,10,164.020004,371.521912,1409.591919,49.993999
24,11,160.660004,242.498413,1393.336914,49.993999
24,12,518.929993,-266.694885,1475.031372,49.993999
24,15,457.049988,770.164368,268.044250,49.993999
25,1,557.299988,674.001465,132.189758,-140.613815
25,5,516.859985,493.423004,137.957321,-168.440475
25,6,525.559998,344.947815,115.213463,-172.117249
25,7,392.350006,944.666504,940.175415,-84.197609
25,8,398.630005,-262.612610,819.673035,-86.345490
25,9,672.440002,966.238953,1716.274292,49.993999
25,10,164.020004,371.521912,1409.591919,49.993999
25,11,160.660004,242.498413,1393.336914,49.993999
25,12,518.929993,-266.694885,1475.031372,49.993999
25,15,457.049988,770.164368,268.044250,49.993999
26,1,557.299988,674.001465,132.189758,-140.613815
26,5,516.859985,493.423004,137.957321,-168.440475
26,6,525.559998,344.947815,115.213463,-172.117249
26,7,392.350006,944.666504,940.175415,-84.197609
26,8,398.630005,-262.612610,819.673035,-86.345490
26,9,672.440002,966.238953,1716.274292,49.993999
26,10,164.020004,371.521912,1409.591919,49.993999
26,11,160.660004,242.498413,1393.336914,49.993999
26,12,518.929993,-266.694885,1475.031372,49.993999
26,15,457.049988,770.164368,268.044250,49.993999
27,1,557.299988,674.001465,132.189758,-140.613815
27,5,516.859985,493.423004,137.957321,-168.440475
27,6,525.559998,344.947815,115.213463,-172.117249
27,7,392.350006,944.666504,940.175415,-84.197609
