timestep,x_cm,y_cm,z_cm,yaw_deg,basis_xx,basis_xy,basis_xz,basis_yx,basis_yy,basis_yz,basis_zx,basis_zy,basis_zz,teleport_flag
105,-2750.000000,-7929.980500,9.991600,-127.900009,-0.614285,0.789084,0.000000,-0.789084,-0.614285,0.000000,0.000000,0.000000,1.000000,0
106,-2730.029300,-7909.961000,20.001300,-126.500000,-0.594823,0.803857,0.000000,-0.803857,-0.594823,0.000000,0.000000,0.000000,1.000000,0
107,-2730.029300,-7909.961000,20.001300,-126.500000,-0.594823,0.803857,0.000000,-0.803857,-0.594823,0.000000,0.000000,0.000000,1.000000,0
108,-2730.029300,-7909.961000,20.001300,-126.500000,-0.594823,0.803857,0.000000,-0.803857,-0.594823,0.000000,0.000000,0.000000,1.000000,0
109,-2710.009800,-7900.000100,20.001300,-123.800003,-0.556296,0.830984,0.000000,-0.830984,-0.556296,0.000000,0.000000,0.000000,1.000000,0
110,-2710.009800,-7900.000100,20.001300,-123.800003,-0.556296,0.830984,0.000000,-0.830984,-0.556296,0.000000,0.000000,0.000000,1.000000,0
111,-2710.009800,-7900.000100,20.001300,-123.800003,-0.556296,0.830984,0.000000,-0.830984,-0.556296,0.000000,0.000000,0.000000,1.000000,0
112,-2700.000000,-7889.941500,20.001300,-121.600006,-0.523986,0.851727,0.000000,-0.851727,-0.523986,0.000000,0.000000,0.000000,1.000000,0
113,-2700.000000,-7889.941500,20.001300,-121.600006,-0.523986,0.851727,0.000000,-0.851727,-0.523986,0.000000,0.000000,0.000000,1.000000,0
114,-2700.000000,-7889.941500,20.001300,-121.600006,-0.523986,0.851727,0.000000,-0.851727,-0.523986,0.000000,0.000000,0.000000,1.000000,0
115,-2689.990200,-7879.980500,20.001300,-119.699997,-0.495459,0.868632,0.000000,-0.868632,-0.495459,0.000000,0.000000,0.000000,1.000000,0
116,-2689.990200,-7879.980500,20.001300,-119.699997,-0.495459,0.868632,0.000000,-0.868632,-0.495459,0.000000,0.000000,0.000000,1.000000,0
117,-2689.990200,-7879.980500,20.001300,-119.699997,-0.495459,0.868632,0.000000,-0.868632,-0.495459,0.000000,0.000000,0.000000,1.000000,0
118,-2680.029300,-7870.019600,20.001300,-118.300003,-0.474088,0.880477,0.000000,-0.880477,-0.474088,0.000000,0.000000,0.000000,1.000000,0
119,-2680.029300,-7870.019600,20.001300,-118.300003,-0.474088,0.880477,0.000000,-0.880477,-0.474088,0.000000,0.000000,0.000000,1.000000,0
120,-2680.029300,-7870.019600,20.001300,-118.300003,-0.474088,0.880477,0.000000,-0.880477,-0.474088,0.000000,0.000000,0.000000,1.000000,0
121,-2670.019500,-7859.961000,20.001300,-117.100006,-0.455545,0.890213,0.000000,-0.890213,-0.455545,0.000000,0.000000,0.000000,1.000000,0
122,-2670.019500,-7859.961000,20.001300,-117.100006,-0.455545,0.890213,0.000000,-0.890213,-0.455545,0.000000,0.000000,0.000000,1.000000,0
123,-2670.019500,-7859.961000,20.001300,-117.100006,-0.455545,0.890213,0.000000,-0.890213,-0.455545,0.000000,0.000000,0.000000,1.000000,0
124,-2670.019500,-7859.961000,20.001300,-116.600006,-0.447759,0.894154,0.000000,-0.894154,-0.447759,0.000000,0.000000,0.000000,1.000000,0
125,-2670.019500,-7859.961000,20.001300,-116.600006,-0.447759,0.894154,0.000000,-0.894154,-0.447759,0.000000,0.000000,0.000000,1.000000,0
126,-2660.009800,-7859.961000,20.001300,-116.400009,-0.444635,0.895712,0.000000,-0.895712,-0.444635,0.000000,0.000000,0.000000,1.000000,0
127,-2660.009800,-7859.961000,20.001300,-116.400009,-0.444635,0.895712,0.000000,-0.895712,-0.444635,0.000000,0.000000,0.000000,1.000000,0
128,-2660.009800,-7859.961000,20.001300,-116.400009,-0.444635,0.895712,0.000000,-0.895712,-0.444635,0.000000,0.000000,0.000000,1.000000,0
129,-2670.019500,-7859.961000,20.001300,-116.600006,-0.447759,0.894154,0.000000,-0.894154,-0.447759,0.000000,0.000000,0.000000,1.000000,0
130,-2670.019500,-7859.961000,20.001300,-116.600006,-0.447759,0.894154,0.000000,-0.894154,-0.447759,0.000000,0.000000,0.000000,1.000000,0
131,-2670.019500,-7859.961000,20.001300,-116.600006,-0.447759,0.894154,0.000000,-0.894154,-0.447759,0.000000,0.000000,0.000000,1.000000,0
132,-2670.019500,-7859.961000,20.001300,-117.199997,-0.457098,0.889416,0.000000,-0.889416,-0.457098,0.000000,0.000000,0.000000,1.000000,0
133,-2670.019500,-7859.961000,20.001300,-117.199997,-0.457098,0.889416,0.000000,-0.889416,-0.457098,0.000000,0.000000,0.000000,1.000000,0
